OrderID,Product,Category,Region,Quantity,Price,Date
2070,Mouse,Accessories,Chennai,5.0,500.0,2025-02-23
2102,Laptop,Electronics,Chennai,20.0,55000.0,2025-02-28
2052,Desk,Furniture,Coimbatore,2.0,12000.0,2025-02-01
2002,mobile,Electronics,Salem,2.0,15000.0,2025-03-10
2061,tablet,Electronics,Trichy,12.0,20000.0,2025-03-18
2064,Laptop,Electronics,Coimbatore,4.0,55000.0,2025-03-16
2003,Headphones,Accessories,MADURAI,12.0,2000.0,2025-03-11
2067,Office Chair,Furniture,Madurai,5.0,7500.0,2025-02-11
2023,keyboard,Accessories,Chennai,5.0,1200.0,2025-02-28
2091,Bookshelf,Furniture,Trichy,3.0,5500.0,2025-03-20
2082,Tablet,Electronics,Chennai,5.0,20000.0,2025-03-05
2027,Keyboard,Accessories,Coimbatore,4.0,1200.0,2025-02-04
2015,Mouse,Accessories,Chennai,4.0,500.0,2025-03-31
2040,Tablet,Electronics,Trichy,3.0,20000.0,2025-02-18
2094,Mobile,Electronics,Madurai,3.0,15000.0,2025-02-15
2045,Bookshelf,Furniture,Trichy,3.0,,2025-02-13
2021,Monitor,Electronics,Trichy,12.0,9500.0,2025-02-17
2097,Laptop,Electronics,SALEM,8.0,55000.0,2025-03-03
2039,Office Chair,Furniture,Coimbatore,2.0,7500.0,2025-02-16
2118,Desk,Furniture,Madurai,10.0,12000.0,2025-03-09
2011,Keyboard,Accessories,Madurai,6.0,1200.0,2025-02-23
2042,Laptop,Electronics,Chennai,4.0,55000.0,2025-02-11
2108,Desk,Furniture,Coimbatore,6.0,12000.0,2025-02-11
2075,Bookshelf,Furniture,MADURAI,6.0,5500.0,2025-02-28
2020,Tablet,Electronics,Madurai,20.0,20000.0,2025-02-28
2022,Laptop,Electronics,Chennai,20.0,55000.0,2025-03-29
2001,Mobile,Electronics,Chennai,,15000.0,2025-02-18
2073,Keyboard,Accessories,Trichy,15.0,1200.0,2025-03-05
2057,Mobile,Electronics,Chennai,,15000.0,2025-03-08
2004,Bookshelf,Furniture,Trichy,4.0,,2025-03-01
2055,bookshelf,Furniture,Coimbatore,15.0,5500.0,2025-03-24
2025,Mouse,Accessories,Salem,15.0,500.0,2025-02-13
2107,Headphones,Accessories,Madurai,10.0,2000.0,2025-03-15
